"","V1","V2.x","V3","V4","V2.y"
"1","01101",64910,57893,89.19,"北海道札幌市中央区"
"2","01102",141700,141496,99.86,"北海道札幌市北区"
"3","01103",112693,86091,76.39,"北海道札幌市東区"
"4","01104",77965,46056,59.07,"北海道札幌市白石区"
"5","01105",66245,66245,100,"北海道札幌市豊平区"
"6","01106",125762,125762,100,"北海道札幌市南区"
"7","01107",85159,42080,49.41,"北海道札幌市西区"
"8","01108",39042,30725,78.7,"北海道札幌市厚別区"
"9","01109",69718,50418,72.32,"北海道札幌市手稲区"
"10","01110",65165,65165,100,"北海道札幌市清田区"
"11","01202",226247,183344,81.04,"北海道函館市"
"12","01203",124819,113813,91.18,"北海道小樽市"
"13","01204",320497,274845,85.76,"北海道旭川市"
"14","01205",76380,61010,79.88,"北海道室蘭市"
"15","01206",182726,85497,46.79,"北海道釧路市"
"16","01207",159157,141152,88.69,"北海道帯広市"
"17","01208",183653,175628,95.63,"北海道北見市"
"18","01209",13956,12390,88.78,"北海道夕張市"
"19","01210",141147,136218,96.51,"北海道岩見沢市"
"20","01211",75422,75422,100,"北海道網走市"
"21","01212",32655,23655,72.44,"北海道留萌市"
"22","01213",132667,97269,73.32,"北海道苫小牧市"
"23","01214",61134,55394,90.61,"北海道稚内市"
"24","01215",54233,52773,97.31,"北海道美唄市"
"25","01216",38916,34939,89.78,"北海道芦別市"
"26","01217",91541,76571,83.65,"北海道江別市"
"27","01218",18123,15785,87.1,"北海道赤平市"
"28","01219",52366,48614,92.84,"北海道紋別市"
"29","01220",85758,76714,89.45,"北海道士別市"
"30","01221",73623,59743,81.15,"北海道名寄市"
"31","01222",19422,19422,100,"北海道三笠市"
"32","01223",37883,37883,100,"北海道根室市"
"33","01224",91870,84094,91.54,"北海道千歳市"
"34","01225",58834,57622,97.94,"北海道滝川市"
"35","01226",25145,11705,46.55,"北海道砂川市"
"36","01227",4520,4520,100,"北海道歌志内市"
"37","01228",83641,81434,97.36,"北海道深川市"
"38","01229",63341,21757,34.35,"北海道富良野市"
"39","01230",49617,43183,87.03,"北海道登別市"
"40","01231",54935,53177,96.8,"北海道恵庭市"
"41","01233",90441,85313,94.33,"北海道伊達市"
"42","01234",73275,71897,98.12,"北海道北広島市"
"43","01235",101946,93278,91.5,"北海道石狩市"
"44","01236",74171,72371,97.57,"北海道北斗市"
"45","01303",51445,50031,97.25,"北海道当別町"
"46","01304",12957,12040,92.92,"北海道新篠津村"
"47","01331",36348,36348,100,"北海道松前町"
"48","01332",19926,19894,99.84,"北海道福島町"
"49","01333",21086,20646,97.91,"北海道知内町"
"50","01334",22104,21892,99.04,"北海道木古内町"
"51","01337",55961,55943,99.97,"北海道七飯町"
"52","01343",17355,17355,100,"北海道鹿部町"
"53","01345",58983,8867,15.03,"北海道森町"
"54","01346",64579,63956,99.04,"北海道八雲町"
"55","01347",32076,29089,90.69,"北海道長万部町"
"56","01361",24877,24856,99.92,"北海道江差町"
