2023年の地図XMLで解析。公共座標率はXMLファイル数ベース
"","V1","V2","V3","V4","V2.y"
"1","1","01101","ファイル数: 50","公共座標率(％): 88","北海道札幌市中央区"
"2","2","01102","ファイル数: 47","公共座標率(％): 97.87","北海道札幌市北区"
"3","3","01103","ファイル数: 64","公共座標率(％): 70.31","北海道札幌市東区"
"4","4","01104","ファイル数: 64","公共座標率(％): 50","北海道札幌市白石区"
"5","5","01105","ファイル数: 43","公共座標率(％): 100","北海道札幌市豊平区"
"6","6","01106","ファイル数: 54","公共座標率(％): 100","北海道札幌市南区"
"7","7","01107","ファイル数: 51","公共座標率(％): 70.59","北海道札幌市西区"
"8","8","01108","ファイル数: 40","公共座標率(％): 67.5","北海道札幌市厚別区"
"9","9","01109","ファイル数: 52","公共座標率(％): 78.85","北海道札幌市手稲区"
"10","10","01110","ファイル数: 21","公共座標率(％): 100","北海道札幌市清田区"
"11","11","01202","ファイル数: 235","公共座標率(％): 51.91","北海道函館市"
"12","12","01203","ファイル数: 74","公共座標率(％): 79.73","北海道小樽市"
"13","13","01204","ファイル数: 224","公共座標率(％): 57.14","北海道旭川市"
"14","14","01205","ファイル数: 48","公共座標率(％): 87.5","北海道室蘭市"
"15","15","01206","ファイル数: 142","公共座標率(％): 41.55","北海道釧路市"
"16","16","01207","ファイル数: 93","公共座標率(％): 38.71","北海道帯広市"
"17","17","01208","ファイル数: 147","公共座標率(％): 84.35","北海道北見市"
"18","18","01209","ファイル数: 45","公共座標率(％): 68.89","北海道夕張市"
"19","19","01210","ファイル数: 126","公共座標率(％): 95.24","北海道岩見沢市"
"20","20","01211","ファイル数: 33","公共座標率(％): 100","北海道網走市"
"21","21","01212","ファイル数: 43","公共座標率(％): 79.07","北海道留萌市"
"22","22","01213","ファイル数: 83","公共座標率(％): 54.22","北海道苫小牧市"
"23","23","01214","ファイル数: 62","公共座標率(％): 82.26","北海道稚内市"
"24","24","01215","ファイル数: 46","公共座標率(％): 95.65","北海道美唄市"
"25","25","01216","ファイル数: 25","公共座標率(％): 80","北海道芦別市"
"26","26","01217","ファイル数: 76","公共座標率(％): 64.47","北海道江別市"
"27","27","01218","ファイル数: 24","公共座標率(％): 62.5","北海道赤平市"
"28","28","01219","ファイル数: 38","公共座標率(％): 76.32","北海道紋別市"
"29","29","01220","ファイル数: 87","公共座標率(％): 79.31","北海道士別市"
